No,No KK,NIK,Nama Lengkap,Hubungan Keluarga,Jenis Kelamin,Tempat Lahir,Tanggal Lahir,Umur (Tahun),Agama,Status Perkawinan,Partisipasi Sekolah,Pendidikan Tertinggi,Kegiatan Utama,Lapangan Pekerjaan,Estimasi Pendapatan Bulanan (Rp),Jaminan Kesehatan,Disabilitas,Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Alamat Domisili,Status Kepemilikan Bangunan,Luas Lantai (m2),Sumber Air Minum,Daya Listrik,Fasilitas Sanitasi
59,3374010106241018,3374010811780033,Tri Tanjung,Kepala Keluarga,Laki-laki,Semarang,08/11/1978,45,Islam,Kawin,Tidak Bersekolah Lagi,Tidak / Tamat SD,Bekerja,Karyawan Swasta,4850000,BPJS Non-PBI / Mandiri,Tunadaksa,Jawa Tengah,Kota Semarang,Banyumanik,Srondol Kulon,"Jl. Anggrek No. 29, RT 007/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
60,3374010106241018,3374017008750074,Ni Wayan Handayani,Istri,Perempuan,Semarang,30/08/1975,48,Islam,Kawin,Tidak Bersekolah Lagi,Tidak / Tamat SD,Bekerja,Wiraswasta / Pedagang,10400000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Tengah,Kota Semarang,Banyumanik,Srondol Kulon,"Jl. Anggrek No. 29, RT 007/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
61,3374010106241018,3374011912090075,Arif Tanjung,Anak,Laki-laki,Semarang,19/12/2009,14,Islam,Belum Kawin,Masih Sekolah,SMP / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Tengah,Kota Semarang,Banyumanik,Srondol Kulon,"Jl. Anggrek No. 29, RT 007/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
62,3273010106241019,3273010404780027,Gilang Kusuma,Kepala Keluarga,Laki-laki,Bandung,04/04/1978,46,Katolik,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Karyawan Swasta,9350000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Pahlawan No. 43, RT 008/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
63,3273010106241019,3273014206750016,Rani Wahyudi,Istri,Perempuan,Bandung,02/06/1975,49,Katolik,Kawin,Tidak Bersekolah Lagi,Tidak / Tamat SD,Bekerja,Buruh Harian Lepas,3300000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Pahlawan No. 43, RT 008/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
64,3273010106241019,3273012911060071,Rahmat Kusuma,Anak,Laki-laki,Bandung,29/11/2006,17,Katolik,Belum Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Pegawai Negeri Sipil (PNS),4750000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Pahlawan No. 43, RT 008/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
65,3273010106241019,3273015910020020,Tri Kusuma,Anak,Perempuan,Bandung,19/10/2002,21,Katolik,Belum Kawin,Tidak Bersekolah Lagi,Diploma (D1-D3),Bekerja,Wiraswasta / Pedagang,7600000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Pahlawan No. 43, RT 008/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
66,7371010106241020,7371010901980096,Wahyu Sitorus,Kepala Keluarga,Laki-laki,Makassar,09/01/1998,26,Kristen Protestan,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Tenaga Kesehatan (Dokter/Perawat),11400000,BPJS Non-PBI / Mandiri,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Anggrek No. 19, RT 004/RW 008",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
67,7371010106241020,7371015008930084,Ni Wayan Setiawan,Istri,Perempuan,Makassar,10/08/1993,30,Kristen Protestan,Kawin,Tidak Bersekolah Lagi,Magister (S2),Bekerja,Pegawai Negeri Sipil (PNS),8000000,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Anggrek No. 19, RT 004/RW 008",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
68,7371010106241020,7371015412200013,Maya Sitorus,Anak,Perempuan,Makassar,14/12/2020,3,Kristen Protestan,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Anggrek No. 19, RT 004/RW 008",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
69,7371010106241020,7371016012190068,Indah Sitorus,Anak,Perempuan,Makassar,20/12/2019,4,Kristen Protestan,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Anggrek No. 19, RT 004/RW 008",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
70,7371010106241020,7371010302720019,Hadi Kusuma,Orang Tua / Mertua,Laki-laki,Makassar,03/02/1972,52,Kristen Protestan,Cerai Mati,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Petani / Pekebun,2100000,BPJS Non-PBI / Mandiri,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Anggrek No. 19, RT 004/RW 008",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
71,3578010106241021,3578010202940068,Untung Subagyo,Kepala Keluarga,Laki-laki,Surabaya,02/02/1994,30,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Petani / Pekebun,2200000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 84, RT 006/RW 010",Milik Sendiri,90,Sumur Terlindung,PLN 900 VA,Jamban Sendiri
72,3578010106241021,3578015604960049,Desi Nugraha,Istri,Perempuan,Surabaya,16/04/1996,28,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 84, RT 006/RW 010",Milik Sendiri,90,Sumur Terlindung,PLN 900 VA,Jamban Sendiri
73,3578010106241021,3578010803160060,Wahyu Subagyo,Anak,Laki-laki,Surabaya,08/03/2016,8,Islam,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 84, RT 006/RW 010",Milik Sendiri,90,Sumur Terlindung,PLN 900 VA,Jamban Sendiri
74,3578010106241021,3578011812220086,Eko Subagyo,Anak,Laki-laki,Surabaya,18/12/2022,1,Islam,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 84, RT 006/RW 010",Milik Sendiri,90,Sumur Terlindung,PLN 900 VA,Jamban Sendiri
75,3578010106241021,3578016311680037,Desi Setiawan,Orang Tua / Mertua,Perempuan,Surabaya,23/11/1968,55,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan Swasta,11900000,Tidak Memiliki,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 84, RT 006/RW 010",Milik Sendiri,90,Sumur Terlindung,PLN 900 VA,Jamban Sendiri
76,3578010106241022,3578011211550012,Tri Tanjung,Kepala Keluarga,Laki-laki,Surabaya,12/11/1955,68,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Pensiunan / Tidak Bekerja,Pensiunan,3500000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Diponegoro No. 59, RT 011/RW 007",Sewa / Kontrak,60,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
77,3578010106241022,3578015708600070,Tri Subagyo,Istri,Perempuan,Surabaya,17/08/1960,63,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Diponegoro No. 59, RT 011/RW 007",Sewa / Kontrak,60,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
78,3578010106241022,3578014502990022,Widya Tanjung,Anak,Perempuan,Surabaya,05/02/1999,25,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Buruh Harian Lepas,2800000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Diponegoro No. 59, RT 011/RW 007",Sewa / Kontrak,60,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
79,3578010106241022,3578012502030044,Rahmat Tanjung,Anak,Laki-laki,Surabaya,25/02/2003,21,Islam,Belum Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Teknisi / Pengrajin,3100000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Diponegoro No. 59, RT 011/RW 007",Sewa / Kontrak,60,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
80,3578010106241022,3578016403020087,Putri Tanjung,Anak,Perempuan,Surabaya,24/03/2002,22,Islam,Belum Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Teknisi / Pengrajin,4850000,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Diponegoro No. 59, RT 011/RW 007",Sewa / Kontrak,60,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
81,3578010106241022,3578012010310002,Dwi Tarigan,Orang Tua / Mertua,Laki-laki,Surabaya,20/10/1931,92,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Pensiunan / Tidak Bekerja,Pensiunan,2500000,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Diponegoro No. 59, RT 011/RW 007",Sewa / Kontrak,60,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
82,1371010106241023,1371010304720084,Joko Wahyudi,Kepala Keluarga,Laki-laki,Padang,03/04/1972,52,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Bekerja,Wiraswasta / Pedagang,9850000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Mawar No. 87, RT 007/RW 006",Milik Sendiri,36,Mata Air,PLN 900 VA,Jamban Sendiri
83,1371010106241023,1371015405770089,Tia Subagyo,Istri,Perempuan,Padang,14/05/1977,47,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,Asuransi Swasta,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Mawar No. 87, RT 007/RW 006",Milik Sendiri,36,Mata Air,PLN 900 VA,Jamban Sendiri
84,1371010106241023,1371013108940013,Joko Wahyudi,Anak,Laki-laki,Padang,31/08/1994,29,Islam,Kawin,Tidak Bersekolah Lagi,Magister (S2),Bekerja,Karyawan Swasta,10500000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Mawar No. 87, RT 007/RW 006",Milik Sendiri,36,Mata Air,PLN 900 VA,Jamban Sendiri
85,1371010106241023,1371017008460016,Citra Setiawan,Orang Tua / Mertua,Perempuan,Padang,30/08/1946,77,Islam,Cerai Mati,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Petani / Pekebun,4300000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Mawar No. 87, RT 007/RW 006",Milik Sendiri,36,Mata Air,PLN 900 VA,Jamban Sendiri
86,3174010106241024,3174013105600017,Tri Sitorus,Kepala Keluarga,Laki-laki,Jakarta Selatan,31/05/1960,64,Kristen Protestan,Belum Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Buruh Harian Lepas,2050000,BPJS PBI (Bantuan Pemerintah),Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Sudirman No. 17, RT 001/RW 006",Sewa / Kontrak,60,Sumur Terlindung,PLN 900 VA,Jamban Sendiri
87,3174010106241025,3174010902660092,Rahmat Tarigan,Kepala Keluarga,Laki-laki,Jakarta Selatan,09/02/1966,58,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Pegawai Negeri Sipil (PNS),4500000,BPJS PBI (Bantuan Pemerintah),Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Garuda No. 42, RT 006/RW 004",Milik Sendiri,72,Sumur Bor / Pompa,PLN 1300 VA,Jamban Sendiri
88,3174010106241025,3174014909700017,Tia Wahyudi,Istri,Perempuan,Jakarta Selatan,09/09/1970,53,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Wiraswasta / Pedagang,8450000,BPJS Non-PBI / Mandiri,Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Garuda No. 42, RT 006/RW 004",Milik Sendiri,72,Sumur Bor / Pompa,PLN 1300 VA,Jamban Sendiri
89,3174010106241025,3174013009210038,Gilang Tarigan,Anak,Laki-laki,Jakarta Selatan,30/09/2021,2,Islam,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Garuda No. 42, RT 006/RW 004",Milik Sendiri,72,Sumur Bor / Pompa,PLN 1300 VA,Jamban Sendiri
90,3174010106241025,3174014804020013,Ni Wayan Tarigan,Anak,Perempuan,Jakarta Selatan,08/04/2002,22,Islam,Belum Kawin,Masih Sekolah,Sarjana (S1/D4),Sekolah,Pelajar / Mahasiswa,0,BPJS Non-PBI / Mandiri,Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Garuda No. 42, RT 006/RW 004",Milik Sendiri,72,Sumur Bor / Pompa,PLN 1300 VA,Jamban Sendiri
91,6471010106241026,6471012804680046,Galih Sinaga,Kepala Keluarga,Laki-laki,Balikpapan,28/04/1968,56,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Pengemudi Ojek Online / Transportasi,4250000,BPJS Non-PBI / Mandiri,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Pahlawan No. 58, RT 012/RW 004",Sewa / Kontrak,120,Sumur Bor / Pompa,PLN 900 VA,Jamban Sendiri
92,6471010106241026,6471015504720037,Desi Nugraha,Istri,Perempuan,Balikpapan,15/04/1972,52,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Pahlawan No. 58, RT 012/RW 004",Sewa / Kontrak,120,Sumur Bor / Pompa,PLN 900 VA,Jamban Sendiri
93,6471010106241026,6471016803980085,Maya Sinaga,Anak,Perempuan,Balikpapan,28/03/1998,26,Islam,Belum Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Guru / Dosen,6750000,BPJS PBI (Bantuan Pemerintah),Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Pahlawan No. 58, RT 012/RW 004",Sewa / Kontrak,120,Sumur Bor / Pompa,PLN 900 VA,Jamban Sendiri
94,6471010106241026,6471014104020098,Citra Sinaga,Anak,Perempuan,Balikpapan,01/04/2002,22,Islam,Belum Kawin,Masih Sekolah,Diploma (D1-D3),Sekolah,Pelajar / Mahasiswa,0,BPJS Non-PBI / Mandiri,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Pahlawan No. 58, RT 012/RW 004",Sewa / Kontrak,120,Sumur Bor / Pompa,PLN 900 VA,Jamban Sendiri
95,1371010106241027,1371012804730020,Kurniawan Utomo,Kepala Keluarga,Laki-laki,Padang,28/04/1973,51,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Bekerja,Wiraswasta / Pedagang,4350000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 78, RT 010/RW 009",Bebas Sewa (Milik Keluarga/Ortu),72,PAM / Ledeng,PLN 1300 VA,Jamban Bersama
96,1371010106241027,1371015704780063,Andi Tenri Nasution,Istri,Perempuan,Padang,17/04/1978,46,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 78, RT 010/RW 009",Bebas Sewa (Milik Keluarga/Ortu),72,PAM / Ledeng,PLN 1300 VA,Jamban Bersama
97,1371010106241027,1371015403130045,Zahra Utomo,Anak,Perempuan,Padang,14/03/2013,11,Islam,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 78, RT 010/RW 009",Bebas Sewa (Milik Keluarga/Ortu),72,PAM / Ledeng,PLN 1300 VA,Jamban Bersama
98,1371010106241027,1371015608470087,Widya Hidayat,Orang Tua / Mertua,Perempuan,Padang,16/08/1947,76,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Pensiunan / Tidak Bekerja,Pensiunan,2500000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 78, RT 010/RW 009",Bebas Sewa (Milik Keluarga/Ortu),72,PAM / Ledeng,PLN 1300 VA,Jamban Bersama
99,1371010106241028,1371012008650074,Cahyo Wibowo,Kepala Keluarga,Laki-laki,Padang,20/08/1965,58,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Wiraswasta / Pedagang,7850000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Sudirman No. 39, RT 001/RW 001",Bebas Sewa (Milik Keluarga/Ortu),54,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
100,1371010106241028,1371015111690042,Dewi Purnomo,Istri,Perempuan,Padang,11/11/1969,54,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Bekerja,Wiraswasta / Pedagang,9050000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Sudirman No. 39, RT 001/RW 001",Bebas Sewa (Milik Keluarga/Ortu),54,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
101,1371010106241028,1371012412950032,Ilham Wibowo,Anak,Laki-laki,Padang,24/12/1995,28,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan Swasta,5800000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Sudirman No. 39, RT 001/RW 001",Bebas Sewa (Milik Keluarga/Ortu),54,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
102,1271010106241029,1271010603860081,Arif Setiawan,Kepala Keluarga,Laki-laki,Medan,06/03/1986,38,Katolik,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Karyawan Swasta,5450000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Melati No. 10, RT 004/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
103,1271010106241029,1271016504890060,Hesti Subagyo,Istri,Perempuan,Medan,25/04/1989,35,Katolik,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Melati No. 10, RT 004/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
104,1271010106241029,1271016312120012,Fitri Setiawan,Anak,Perempuan,Medan,23/12/2012,11,Katolik,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Melati No. 10, RT 004/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
105,1271010106241029,1271014510200060,Eka Setiawan,Anak,Perempuan,Medan,05/10/2020,3,Katolik,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,Tidak Memiliki,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Melati No. 10, RT 004/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
106,3174010106241030,3174012110820087,Jamal Hidayat,Kepala Keluarga,Laki-laki,Jakarta Selatan,21/10/1982,41,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Buruh Harian Lepas,3150000,BPJS PBI (Bantuan Pemerintah),Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Sudirman No. 42, RT 008/RW 010",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
107,3174010106241030,3174014809790072,Amalia Lestari,Istri,Perempuan,Jakarta Selatan,08/09/1979,44,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Sudirman No. 42, RT 008/RW 010",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
108,3174010106241030,3174014511100078,Wati Hidayat,Anak,Perempuan,Jakarta Selatan,05/11/2010,13,Islam,Belum Kawin,Masih Sekolah,SMP / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,DKI Jakarta,Kota Jakarta Selatan,Tebet,Tebet Timur,"Jl. Sudirman No. 42, RT 008/RW 010",Milik Sendiri,200,PAM / Ledeng,PLN 450 VA,Jamban Sendiri
109,1371010106241031,1371010609540086,Galih Sitorus,Kepala Keluarga,Laki-laki,Padang,06/09/1954,69,Islam,Cerai Mati,Tidak Bersekolah Lagi,SMA / SMK / MA,Pensiunan / Tidak Bekerja,Pensiunan,2500000,Tidak Memiliki,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Gatot Subroto No. 40, RT 011/RW 003",Bebas Sewa (Milik Keluarga/Ortu),120,Sumur Bor / Pompa,PLN 450 VA,Jamban Sendiri
110,1271010106241032,1271012703590089,Arif Kusuma,Kepala Keluarga,Laki-laki,Medan,27/03/1959,65,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Petani / Pekebun,3350000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Sudirman No. 29, RT 013/RW 008",Rumah Dinas,54,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
111,1271010106241032,1271015603580093,Gita Utomo,Istri,Perempuan,Medan,16/03/1958,66,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Sudirman No. 29, RT 013/RW 008",Rumah Dinas,54,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
112,7371010106241033,7371011103720018,Nugroho Tanjung,Kepala Keluarga,Laki-laki,Makassar,11/03/1972,52,Islam,Cerai Mati,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Pegawai Negeri Sipil (PNS),7850000,BPJS Non-PBI / Mandiri,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Sudirman No. 40, RT 004/RW 009",Bebas Sewa (Milik Keluarga/Ortu),150,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
113,3273010106241034,3273014211960065,Tri Harahap,Kepala Keluarga,Perempuan,Bandung,02/11/1996,27,Katolik,Cerai Hidup,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Karyawan Swasta,5850000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Mawar No. 37, RT 012/RW 009",Milik Sendiri,54,Mata Air,PLN 450 VA,Jamban Sendiri
114,3273010106241035,3273012608880082,Arif Hidayat,Kepala Keluarga,Laki-laki,Bandung,26/08/1988,35,Islam,Kawin,Tidak Bersekolah Lagi,Diploma (D1-D3),Bekerja,Wiraswasta / Pedagang,4850000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Melati No. 18, RT 014/RW 006",Milik Sendiri,150,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
115,3273010106241035,3273016910850069,Dian Tanjung,Istri,Perempuan,Bandung,29/10/1985,38,Islam,Kawin,Tidak Bersekolah Lagi,Tidak / Tamat SD,Bekerja,Karyawan Swasta,6900000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Melati No. 18, RT 014/RW 006",Milik Sendiri,150,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
